embryo_id,time_idx,cell_name,x_um,y_um,z_um,nuclear_diameter_um,valid,n_cells_frame,source_file,canonical_time
OOS_SPIMA_P4,24,MS,23.3928,10.5051,19.5,2.9240999999999997,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,E,32.8149,12.7794,23.25,2.9240999999999997,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,ABpla,18.9525,20.1438,27.75,3.3573,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,ABpra,26.208599999999997,18.9525,14.25,3.7905,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,ABprp,31.7319,14.6205,15.75,3.3573,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,25,ABplp,27.5082,15.9201,28.5,3.3573,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,ABala,10.9383,13.7541,22.5,3.3573,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,C,31.7319,20.9019,24.0,4.2237,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,P3,39.5295,15.3786,21.0,3.3573,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,ABara,16.353299999999997,15.4869,15.75,3.5738999999999996,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,ABarp,21.335099999999997,21.118499999999997,20.25,3.3573,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,ABalp,17.0031,11.1549,24.0,3.3573,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,MSa,21.8766,10.3968,20.25,2.2743,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,MSp,24.4758,11.4798,19.5,2.4909,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,E,32.381699999999995,11.4798,22.5,2.9240999999999997,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,ABpla,19.494,20.6853,27.0,3.3573,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,ABpra,25.4505,18.3027,14.25,3.7905,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,25,ABprp,32.056799999999996,13.5375,14.25,3.5738999999999996,1,13,t025-nuclei,40.5
OOS_SPIMA_P4,26,ABplp,28.158,15.2703,28.5,3.3573,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,ABala,11.0466,15.595199999999998,22.5,3.3573,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,C,31.298699999999997,20.7936,24.0,4.007099999999999,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,P3,39.7461,15.9201,21.0,3.1407,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,ABara,15.8118,15.595199999999998,16.5,3.7905,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,ABarp,21.66,21.4434,20.25,3.5738999999999996,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,ABalp,16.4616,12.2379,25.5,3.5738999999999996,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,MSa,20.6853,10.1802,20.25,2.7075,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,MSp,24.1509,11.0466,18.0,2.7075,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,Ep,34.656,12.0213,22.5,2.2743,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,Ea,31.190399999999997,10.6134,21.75,2.2743,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,ABpla,20.2521,20.9019,27.75,3.5738999999999996,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,ABpra,25.0173,18.5193,14.25,4.007099999999999,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,26,ABprp,32.8149,13.3209,15.0,3.5738999999999996,1,14,t026-nuclei,42.0
OOS_SPIMA_P4,27,ABplp,28.807799999999997,14.8371,27.75,3.5738999999999996,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,ABala,11.0466,15.3786,22.5,3.3573,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,C,30.973799999999997,20.3604,24.0,3.7905,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,P3,39.2046,16.4616,20.25,3.3573,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,ABara,15.3786,14.8371,16.5,4.007099999999999,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,ABarp,21.5517,21.8766,21.0,3.5738999999999996,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,ABalp,16.4616,12.0213,25.5,3.3573,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,MSa,20.0355,9.8553,20.25,2.7075,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,MSp,23.825999999999997,11.1549,18.0,2.9240999999999997,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,Ep,34.9809,12.5628,22.5,2.4909,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,Ea,31.082099999999997,9.9636,21.75,2.7075,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,ABpla,19.9272,20.577,27.0,3.5738999999999996,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,ABpra,25.1256,18.9525,15.0,4.007099999999999,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,27,ABprp,32.273399999999995,13.5375,15.0,3.5738999999999996,1,14,t027-nuclei,42.0
OOS_SPIMA_P4,28,ABplp,28.807799999999997,14.5122,28.5,3.5738999999999996,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,ABala,11.0466,15.595199999999998,23.25,3.5738999999999996,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,C,30.757199999999997,19.494,24.0,2.9240999999999997,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,P3,38.6631,16.8948,21.0,3.1407,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,ABara,14.9454,14.8371,16.5,4.007099999999999,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,ABarp,21.7683,21.8766,21.0,3.7905,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,ABalp,16.5699,11.912999999999998,25.5,3.5738999999999996,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,MSa,19.2774,9.6387,19.5,2.9240999999999997,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,MSp,24.5841,11.3715,18.0,3.1407,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,Ep,35.8473,12.6711,22.5,2.9240999999999997,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,Ea,31.298699999999997,9.747,22.5,2.7075,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,ABpla,19.9272,20.577,27.75,3.7905,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,ABpra,25.4505,18.735899999999997,15.0,4.2237,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,28,ABprp,32.706599999999995,13.7541,15.75,3.3573,1,14,t028-nuclei,43.5
OOS_SPIMA_P4,29,ABplp,28.591199999999997,13.5375,28.5,3.7905,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,ABala,10.7217,15.595199999999998,22.5,3.5738999999999996,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,Ca,29.241,18.627599999999997,24.0,2.2743,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,Cp,32.165099999999995,19.2774,23.25,2.2743,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,P3,38.7714,16.5699,21.0,3.3573,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,ABara,14.5122,14.403899999999998,16.5,4.007099999999999,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,ABarp,22.6347,22.2015,21.75,3.7905,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,ABalp,16.4616,11.2632,25.5,3.3573,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,MSa,18.411,9.9636,19.5,3.1407,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,MSp,25.3422,11.6964,18.0,3.3573,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,Ep,36.7137,12.996,23.25,3.1407,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,Ea,30.973799999999997,9.2055,21.75,2.9240999999999997,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,ABpla,20.0355,20.3604,27.75,3.5738999999999996,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,ABpra,25.7754,18.627599999999997,14.25,4.2237,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,29,ABprp,33.0315,13.212599999999998,15.0,3.5738999999999996,1,15,t029-nuclei,46.5
OOS_SPIMA_P4,30,ABplp,27.6165,13.6458,28.5,3.5738999999999996,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,ABala,10.7217,16.028399999999998,22.5,3.3573,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,Ca,29.241,18.627599999999997,24.0,2.4909,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,Cp,33.0315,19.3857,23.25,2.4909,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,P3,39.0963,15.595199999999998,21.0,3.3573,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,ABara,15.703499999999998,14.6205,15.75,3.5738999999999996,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,ABarp,22.6347,22.0932,21.0,3.7905,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,ABalp,15.4869,11.3715,26.25,3.1407,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,MSa,18.1944,9.8553,19.5,3.1407,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,MSp,25.6671,11.6964,17.25,3.3573,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,Ep,36.3888,12.7794,23.25,2.9240999999999997,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,Ea,29.6742,9.3138,21.75,3.1407,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,ABpla,19.7106,20.2521,27.0,3.7905,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,ABpra,26.425199999999997,18.411,15.0,4.007099999999999,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,30,ABprp,32.8149,13.1043,15.0,3.5738999999999996,1,15,t030-nuclei,46.5
OOS_SPIMA_P4,31,ABplp,27.1833,13.8624,28.5,3.5738999999999996,1,15,t031-nuclei,46.5
OOS_SPIMA_P4,31,ABala,11.0466,15.9201,21.75,3.3573,1,15,t031-nuclei,46.5
OOS_SPIMA_P4,31,Ca,28.807799999999997,18.411,24.0,2.9240999999999997,1,15,t031-nuclei,46.5
